標題,發布時間
【住宅火災】【11日19:47高雄市三民區三德西街55巷住宅火災，已撲滅，無傷亡】,111-05-12
【住宅火災】【臺北市北投區中和街錫安巷住宅火災，已撲滅，1男焦屍】,111-05-12
​【住宅火災】【15日花蓮縣吉安鎮住宅火災，已撲滅，無傷亡】,111-05-15
​【宮廟火災】【15日新北市汐止區宮廟火災，已撲滅，無傷亡】,111-05-15
【住宅火災】【20日11:12高雄市大寮區開封街55巷1住宅火災，已撲滅，1無生命徵象】,111-05-21
【工廠火災】【21日新竹縣新豐鄉工廠火災，已撲滅，無傷亡】,111-05-22
【消防快訊-臺北市北投區大業路某立體停車場疑似縱火】,111-05-22
【住宅火災】【24日13:11屏東縣新園鄉田南路1住宅火災，已撲滅，1傷】,111-05-24
【倉庫火災】【27日臺南市仁德區倉庫火災，已撲滅，無傷亡,111-05-28
【住宅火災】【28日01:05宜蘭縣五結鄉舊街二路101巷某住宅火災，已撲滅，1傷】,111-05-28
【地震】【5月28日03:39臺東縣政府北北方49.6公里(臺東縣海端鄉)發生芮氏規模3.7地震，無災情】,111-05-28
【工廠火災】【28日桃園市大園區工廠火災，已撲滅，無傷亡】,111-05-28
​【住宅火災】【28日高雄市三民區義華路住宅火災，已撲滅，1人輕傷、1人無生命徵象均送醫】,111-05-29
​【工廠火災】【28日桃園市大園區工廠火災，已撲滅，無傷亡】,111-05-29
​【住宅火災】【29日南投縣仁愛鄉清華巷住宅火災，已撲滅，無傷亡】,111-05-29
【地震】【5月30日03:10花蓮縣政府西南西方17.5公里(花蓮縣秀林鄉)發生芮氏規模3.5地震，查無災情】,111-05-30
 【工廠火災】【30日新竹市東區東美路鐵皮屋火災，已撲滅，無傷亡】,111-05-30
​【工廠火災】【1日00:17臺中市潭子區1膠囊工廠火災，已撲滅，無傷亡】,111-06-01
【住宅火災】【1日臺中市中市潭子區潭興路三段某住宅大樓，已撲滅，1男明顯死亡】,111-06-01
【地震】【6月1日16:16臺東縣政府北北東方75.9公里(臺東縣長濱鄉)發生芮氏規模4.1地震，查無災情】,111-06-01
【工廠火災】【2日高雄市阿蓮區復安里工廠火災，已撲滅，無傷亡】,111-06-02
【住宅火災】【2日14:42高雄市永安區永華路9巷某住宅火災，已撲滅，1死】,111-06-02
【住宅火災】【2日14:24彰化縣彰化市中山路三段85巷某住宅火災，已撲滅，1死】,111-06-02
【住宅火災】【3日02:54澎湖縣馬公市三多路某住宅火災，已撲滅，1死】,111-06-03
【宮廟火災】【3日04:18新竹縣湖口鄉乾興路某私人宮廟火災，已撲滅，無傷亡】,111-06-03
【山域事故】【4日花蓮縣秀林鄉翡翠谷1男溺水無生命徵象請求救援，空勤直升機及本署特搜共勤成功吊掛後送】,111-06-05
【地震】【6月5日5:36臺東縣政府北北東方67.0公里(臺東縣近海)發生芮氏規模3.9地震，查無災情】,111-06-05
​【住宅火災】【6日臺東縣臺東市仁愛街住宅火災，已撲滅，無傷亡】,111-06-07
​【學校宿舍火災】【6日臺東縣長濱鄉「三間國小」宿舍火災，已撲滅，無傷亡】,111-06-07
【住宅火災】【7日新北市八里區華峰一街住宅火災，已撲滅，1女無生命徵象送醫】,111-06-08
【住宅火災】【8日新北市淡水區淡海路住宅火災，已撲滅，無傷亡】,111-06-09
【倉庫火災】【8日桃園市楊梅區和平路倉庫火災，已撲滅，無傷亡】,111-06-09
【住宅火災】【9日03:04苗栗縣後龍鎮秀水里1住宅火災，已撲滅，2傷】,111-06-09
【住宅火災】【9日06:49花蓮縣卓溪鄉立山村1住宅火災，已撲滅，無傷亡】,111-06-10
【工廠火災】【9日12:10桃園市蘆竹區長興路3段工廠火災，已撲滅，1男無生命徵象送醫】,111-06-10
【倉庫火災】【11日22:45臺東縣臺東市知本路二段倉庫火災，已撲滅，無傷亡】,111-06-12
【倉儲火災】【12日臺南市仁德區中洲路塑膠廢料倉儲火災，已撲滅，無傷亡】,111-06-13
【住宅火災】【嘉義縣朴子市開元路某住宅火災，已撲滅，無傷亡】,111-06-14
【住宅火災】【13日高雄市阿蓮區住宅火災，已撲滅，1男疑似自焚明顯死亡】,111-06-14
【倉庫火災】【16日臺中市南屯區五權西路三段2間倉庫火災，已撲滅，無傷亡】,111-06-16
【汽修廠火災】【15日新竹市東區東大路一段汽修廠火災，已撲滅，8人死亡，1人輕傷送醫】,111-06-16
​【鐵皮屋火災】【18日嘉義縣太保市「太保市公所垃圾掩埋場」鐵皮屋火災，已撲滅，無傷亡】,111-06-19
【山域事故】【19日臺中市和平區南湖大山「審馬陣山屋」1男高山症肺水腫，空勤直升機及本署特搜共勤成功吊掛後送】,111-06-19
【工廠火災】【19日臺中市大雅區永和路火災，已撲滅，無傷亡】,111-06-19
【地震】【6月20日02:38臺東縣政府北方28.6公里(臺東縣關山鎮)發生芮氏規模3.6地震，無災情】,111-06-20
【倉庫火災】【20日宜蘭縣宜蘭市民權路二段某倉庫火災，已撲滅，無傷亡】,111-06-20
